age,salary,gender,country,purchase
57,72345.24,1,Dominica,520.35
57,33699.76,1,Lao People's Democratic Republic,385.9
31,140821.23,0,Saint Martin,408.98
32,92039.29,0,Saint Lucia,211.38
32,87250.91,1,Wallis and Futuna,772.94
54,80797.9,1,Syrian Arab Republic,125.27
47,86879.05,0,Andorra,205.11
42,87926.35,1,Dominican Republic,149.9
26,73736.5,1,Sao Tome and Principe,542.77
26,57961.47,1,Andorra,885.48
24,62121.5,0,Estonia,312.97
49,119722.43,0,Solomon Islands,469.13
62,134543.46,0,Saint Lucia,934.59
49,116730.56,0,Guyana,974.83
38,126287.69,1,New Caledonia,523.17
53,43489.42,0,Norway,667.77
57,36685.8,1,Azerbaijan,968.12
63,23824.39,1,Myanmar,14.61
29,111724.57,0,Honduras,439.53
54,125775.19,1,Nicaragua,313.27
44,53137.21,1,Turkey,630.3
60,132697.13,1,Guatemala,371.62
36,113990.44,1,Dominica,304.6
34,24786.59,1,Argentina,321.76
42,74091.26,1,Malta,287.72
53,102011.18,0,Malta,754.29
63,56110.78,1,Vanuatu,980.99
38,80622.07,1,Comoros,369.54
25,82639.62,1,Iceland,836.47
20,66337.51,0,French Southern Territories,675.82
21,89804.33,0,Liberia,150.78
35,30911.41,0,Netherlands,468.77
29,78192.89,0,Vanuatu,928.25
59,124949.16,0,Eritrea,127.72
50,91654.29,0,Portugal,209.77
18,100527.57,0,Mayotte,274.16
27,73050.57,1,Honduras,320.4
35,114468.67,1,Malawi,855.6
19,92114.53,1,Azerbaijan,44.16
26,47244.85,1,Zambia,921.58
27,29529.19,0,Antigua and Barbuda,625.56
64,44799.08,1,Guam,869.19
48,62811.67,1,Monaco,920.64
42,113279.93,1,Sudan,95.72
30,142362.6,0,Marshall Islands,624.37
63,103019.44,0,United States Minor Outlying Islands,986.32
59,131188.58,0,Aruba,303.09
52,119460.78,0,Cape Verde,736.26
47,117926.69,1,Guernsey,242.04
28,119043.96,1,Burundi,769.94
51,124510.43,0,Burundi,499.23
60,100647.05,0,Angola,667.98
40,115947.99,1,Nigeria,55.53
40,51458.6,0,South Africa,840.9
45,52231.21,1,Sierra Leone,607.41
35,110564.76,1,Mali,874.1
29,104358.2,1,Honduras,410.48
65,86166.31,0,Mali,284.61
31,99759.82,0,Falkland Islands (Malvinas),488.54
21,145760.7,0,Cameroon,346.59
32,58092.41,0,Nauru,236.38
60,138805.38,0,Saint Pierre and Miquelon,914.24
33,53325.76,1,Congo,326.1
48,108278.93,1,Seychelles,948.84
46,69660.47,1,Libyan Arab Jamahiriya,661.97
35,125479.79,1,Malaysia,110.15
60,118687.48,0,Equatorial Guinea,906.7
61,143968.19,1,Montserrat,782.02
44,86890.26,1,British Virgin Islands,67.11
49,52156.47,1,Mozambique,750.58
59,147467.34,0,Armenia,541.69
41,27465.78,1,New Caledonia,906.74
25,106616.4,1,New Caledonia,473.56
37,147895.65,0,French Polynesia,36.43
24,146968.55,1,Timor-Leste,245.22
43,115989.63,1,Andorra,623.35
32,133227.63,1,Barbados,743.57
47,41842.32,1,Bosnia and Herzegovina,489.08
32,69080.38,0,Poland,187.25
55,94107.66,0,Togo,10.6
37,129195.91,0,Fiji,511.17
53,111435.59,0,Bulgaria,739.72
21,76556.94,1,Saint Lucia,400.57
40,68877.64,1,Greenland,789.0
55,82821.66,1,Cayman Islands,96.95
31,83877.0,0,Czech Republic,804.48
38,61416.65,1,Brunei Darussalam,775.74
44,79417.79,0,Serbia,136.94
59,53281.62,1,Latvia,445.7
46,110402.1,0,Libyan Arab Jamahiriya,445.42
18,54026.87,1,Congo,349.84
58,89719.66,1,Zimbabwe,748.29
34,25847.18,0,Greece,690.57
46,77007.89,0,Palau,801.79
60,98487.7,0,Netherlands,429.0
57,121185.51,0,Germany,316.65
48,31896.76,0,Samoa,38.37
48,56876.98,0,New Zealand,451.89
46,110004.32,0,Cuba,511.14
39,115316.87,1,Indonesia,176.65
53,114118.89,1,China,900.55
58,63451.9,1,Netherlands,80.18
29,138459.54,1,Ethiopia,56.74
55,56664.21,1,Mali,733.27
36,113983.36,1,Cuba,335.85
30,58655.63,0,Peru,322.62
64,87306.53,1,Maldives,211.69
44,45495.81,1,Uganda,29.32
32,24737.19,0,Guyana,586.14
31,94941.92,1,Mayotte,232.71
33,136069.92,0,Canada,61.53
26,60593.47,1,Vietnam,925.62
50,124346.0,0,Australia,399.02
33,80156.57,0,Zimbabwe,939.49
35,27315.32,0,Slovenia,23.47
46,112398.92,1,Malawi,923.86
26,102210.27,0,Denmark,138.7
22,69542.06,0,Nepal,360.46
28,26080.17,1,Bolivia,586.27
40,99671.47,1,Paraguay,46.7
40,149504.34,1,Holy See (Vatican City State),677.27
19,96810.48,1,Costa Rica,232.35
28,79185.32,0,Gibraltar,101.59
19,26816.73,1,Finland,243.01
32,126187.11,1,Croatia,230.55
32,74420.74,1,Canada,123.45
40,112577.62,1,Burkina Faso,987.15
43,88882.93,1,New Caledonia,930.51
47,137906.49,0,Comoros,131.82
36,141031.59,0,British Virgin Islands,104.54
19,88120.19,0,Saint Pierre and Miquelon,842.23
21,144265.72,1,Antigua and Barbuda,803.5
64,83438.88,0,Algeria,457.54
44,92103.89,0,Cape Verde,962.22
40,84278.02,1,South Africa,312.13
27,107537.73,0,Tokelau,165.84
54,117551.14,0,Sudan,527.37
20,149320.12,0,Saint Martin,919.59
56,68914.42,0,China,624.72
57,100434.55,1,Ecuador,704.0
63,145697.17,0,Saudi Arabia,977.8
60,140687.1,1,Lithuania,515.89
27,112644.03,1,Jordan,791.27
41,136850.17,1,Congo,698.56
47,79391.89,0,Saint Vincent and the Grenadines,917.12
42,109531.85,1,Guinea,370.16
47,123323.02,0,Germany,878.17
62,50874.61,0,Brazil,865.1
27,76208.9,0,Bahamas,305.88
44,142555.24,1,Togo,876.64
32,138639.39,0,Bahrain,561.21
52,98884.35,0,Gabon,220.26
34,96171.35,1,Albania,837.86
44,22380.87,1,Israel,611.9
23,124087.67,1,Bolivia,149.37
58,61972.47,1,Benin,632.89
